CARD-PLACEMENT POWER RANKINGS  (UFC)  — as of 2026-06-22  [metric: avg card slot (1.0 = main event, lower = higher)]
recency: last 3 fights, decay 1 | active ≤ 18mo
events scanned: 788 | inverted-order events corrected on the fly: 11 | ranked fighters: 560 (division inferred from opponents for 174, marked ~) | skipped (no division): 18


━━━ HEAVYWEIGHT ━━━  (39 ranked)
13. Brendan Allen                 3.33  [2/16n 1/13n 7/14P]  last 2026-06-06
14. Sharabutdin Magomedov ~       3.33  [3/12n 2/11n 5/13P]  last 2025-07-26
15. Jack Hermansson ~             3.67  [4/14n 6/11P 1/14n]  last 2025-11-22
16. Abdul Razak Alhassan ~        4.00  [3/14n 3/12n 6/12n]  last 2025-01-11
17. Dustin Stoltzfus ~            4.00  [4/14n 3/11n 5/10n]  last 2025-09-13
18. Paul Craig ~                  4.33  [3/13n 7/13n 3/12P]  last 2025-09-06
19. Ikram Aliskerov               4.67  [7/13P 6/14n 1/11n]  last 2025-10-25
20. Bo Nickal                     4.67  [6/7o 6/14P 2/12n]  last 2026-06-14
21. Edmen Shahbazyan              5.33  [2/16n 5/16n 9/14P]  last 2026-06-06
22. Michal Oleksiejczuk           5.33  [4/13n 10/13P 2/13n]  last 2026-02-07
23. Nursulton Ruziboev            5.33  [3/11n 11/12n 2/12n]  last 2025-05-17
24. Christian Leroy Duncan        5.33  [5/15n 5/12n 6/12n]  last 2026-03-21
25. Jun Yong Park ~               5.67  [7/13P 8/12n 2/12n]  last 2025-10-25
26. Marc-Andre Barriault          5.67  [4/13n 3/12n 10/12P]  last 2026-02-07
27. Marvin Vettori                6.00  [10/14P 7/14P 1/13n]  last 2025-12-06
28. Ozzy Diaz                     6.00  [6/14P 6/13n]  last 2026-05-09
29. Kelvin Gastelum               6.00  [11/12P 4/14n 3/13P]  last 2026-04-11
30. Armen Petrosyan ~             6.00  [7/10P 5/13P 6/14n]  last 2025-03-08
31. Gregory Rodrigues             6.33  [6/16P 7/14P 6/11P]  last 2026-03-07
32. Vicente Luque                 6.33  [11/12P 3/12n 5/13P]  last 2026-04-11
33. Michel Pereira                6.33  [6/14n 9/12n 4/14n]  last 2026-02-22
34. Roman Kopylov                 6.67  [11/14P 7/14P 2/14P]  last 2026-05-09
35. Dusko Todorovic               6.67  [8/16P 7/14n 5/9n]  last 2026-03-07
36. Andre Muniz ~                 6.67  [9/14P 6/14n 5/11n]  last 2025-10-04
37. Abusupiyan Magomedov ~        7.00  [5/14P 9/13P]  last 2025-10-04
38. Cameron Rowston ~             7.00  [7/13P 7/12n]  last 2026-01-31
39. Torrez Finney ~               7.00  [8/13P 6/12n]  last 2026-01-31
40. Jose Daniel Medina            7.00  [7/14n 7/14n 7/12n]  last 2026-02-28
41. Ateba Abega Gautier ~         7.33  [7/11P 6/14P 9/14P]  last 2026-01-24
42. Robert Valentin               7.33  [7/14n 9/14P 6/12n]  last 2026-04-18
43. Robert Bryczek                7.33  [8/14n 11/13n 3/14n]  last 2026-05-02
44. Rodolfo Vieira                7.67  [9/16n 6/14P 8/12n]  last 2026-04-25
45. Mansur Abdul-Malik            7.67  [5/16n 13/14P 5/13n]  last 2026-03-28
46. Andre Petroski                7.67  [13/16n 7/12n 3/13n]  last 2026-05-16
47. Ryan Loder ~                  7.67  [12/14n 8/12n 3/11n]  last 2025-11-22
48. Zachary Reese                 8.00  [11/14n 5/9n]  last 2025-09-13
49. Donte Johnson                 8.33  [8/16P 8/16P 9/13n]  last 2026-03-07
50. Zach Reese                    8.33  [6/14n 12/12n 7/13P]  last 2026-02-22
51. Ihor Potieria ~               8.33  [8/14n 8/12n 9/12P]  last 2025-01-11
52. Dylan Budka ~                 8.33  [3/12n 11/12n 11/12n]  last 2025-02-15
53. Kyle Daukaus                  8.33  [6/7o 10/14P 9/12n]  last 2026-06-14
54. Yousri Belgaroui              8.50  [5/16n 12/13n]  last 2026-03-28
55. Nick Klein ~                  8.50  [9/12n 8/12n]  last 2025-08-02
56. Brad Tavares                  8.67  [11/14n 11/13n 4/12n]  last 2026-03-14
57. Andrey Pulyaev                8.67  [7/11P 9/12n 10/13n]  last 2026-01-24
58. Gerald Meerschaert            9.00  [10/14n 10/14P 7/12P]  last 2026-05-02
59. Eryk Anders                   9.00  [11/14n 6/12n 10/14o]  last 2026-03-14
60. Cody Brundage                 9.33  [13/16n 8/16P 7/13P]  last 2026-05-16
61. Marco Tulio                   9.33  [11/14P 5/12n 12/13P]  last 2026-05-09
62. Brunno Ferreira               9.67  [6/16P 10/14P 13/14P]  last 2026-03-07
63. Sedriques Dumas              10.00  [10/16n 9/13n 11/14n]  last 2026-04-25
64. Jacob Malkoun                10.33  [10/14n 8/13P 13/14n]  last 2026-05-02
65. Ismail Naurdiev              10.67  [12/14n 8/12n 12/13P]  last 2025-11-22
66. Antonio Trocoli              11.00  [10/15n 13/14P 10/11n]  last 2026-03-21
67. Tresean Gore                 11.33  [14/16n 8/12n 12/13P]  last 2026-04-04
68. Eric McConico                11.33  [9/16n 13/14P 12/12n]  last 2026-04-25
69. Azamat Bekoev                11.33  [14/16n 12/13n 8/12n]  last 2026-04-04
