CARD-PLACEMENT POWER RANKINGS  (UFC)  — as of 2026-06-22  [metric: avg card slot (1.0 = main event, lower = higher)]
recency: last 3 fights, decay 0.6 | active ≤ 18mo
events scanned: 788 | inverted-order events corrected on the fly: 11 | ranked fighters: 615 (division inferred from opponents for 214, marked ~) | skipped (no division): 24


━━━ HEAVYWEIGHT ━━━  (42 ranked)
22. Christian Leroy Duncan        5.18  [5/15n 5/12n 6/12n]  last 2026-03-21
23. Nursulton Ruziboev            5.27  [3/11n 11/12n 2/12n]  last 2025-05-17
24. Bo Nickal                     5.27  [6/7o 6/14P 2/12n]  last 2026-06-14
25. Michal Oleksiejczuk           5.47  [4/13n 10/13P 2/13n]  last 2026-02-07
26. Abus Magomedov                5.53  [4/14n 9/12n 4/11n]  last 2025-04-26
27. Ikram Aliskerov               5.59  [7/13P 6/14n 1/11n]  last 2025-10-25
28. Ozzy Diaz                     6.00  [6/14P 6/13n]  last 2026-05-09
29. Armen Petrosyan ~             6.20  [7/10P 5/13P 6/14n]  last 2025-03-08
30. Gregory Rodrigues             6.31  [6/16P 7/14P 6/11P]  last 2026-03-07
31. Jun Yong Park ~               6.39  [7/13P 8/12n 2/12n]  last 2025-10-25
32. Abusupiyan Magomedov ~        6.50  [5/14P 9/13P]  last 2025-10-04
33. Michel Pereira                6.55  [6/14n 9/12n 4/14n]  last 2026-02-22
34. Dylan Budka ~                 6.92  [3/12n 11/12n 11/12n]  last 2025-02-15
35. Cameron Rowston ~             7.00  [7/13P 7/12n]  last 2026-01-31
36. Jose Daniel Medina            7.00  [7/14n 7/14n 7/12n]  last 2026-02-28
37. Ateba Abega Gautier ~         7.06  [7/11P 6/14P 9/14P]  last 2026-01-24
38. Dusko Todorovic               7.14  [8/16P 7/14n 5/9n]  last 2026-03-07
39. Torrez Finney ~               7.25  [8/13P 6/12n]  last 2026-01-31
40. Andre Muniz ~                 7.35  [9/14P 6/14n 5/11n]  last 2025-10-04
41. Kelvin Gastelum               7.39  [11/12P 4/14n 3/13P]  last 2026-04-11
42. Marvin Vettori                7.43  [10/14P 7/14P 1/13n]  last 2025-12-06
43. Robert Valentin               7.43  [7/14n 9/14P 6/12n]  last 2026-04-18
44. Mansur Abdul-Malik            7.45  [5/16n 13/14P 5/13n]  last 2026-03-28
45. Vicente Luque                 7.45  [11/12P 3/12n 5/13P]  last 2026-04-11
46. Yousri Belgaroui              7.62  [5/16n 12/13n]  last 2026-03-28
47. Kyle Daukaus                  7.78  [6/7o 10/14P 9/12n]  last 2026-06-14
48. Rodolfo Vieira                7.90  [9/16n 6/14P 8/12n]  last 2026-04-25
49. Robert Bryczek                8.00  [8/14n 11/13n 3/14n]  last 2026-05-02
50. Zach Reese                    8.02  [6/14n 12/12n 7/13P]  last 2026-02-22
51. Roman Kopylov                 8.12  [11/14P 7/14P 2/14P]  last 2026-05-09
52. Andrey Pulyaev                8.16  [7/11P 9/12n 10/13n]  last 2026-01-24
53. Donte Johnson                 8.18  [8/16P 8/16P 9/13n]  last 2026-03-07
54. Ihor Potieria ~               8.18  [8/14n 8/12n 9/12P]  last 2025-01-11
55. Gilbert Urbina                8.41  [10/12n 6/13n 8/12n]  last 2025-08-09
56. Brunno Ferreira               8.51  [6/16P 10/14P 13/14P]  last 2026-03-07
57. Nick Klein ~                  8.63  [9/12n 8/12n]  last 2025-08-02
58. Zachary Reese                 8.75  [11/14n 5/9n]  last 2025-09-13
59. Ryan Loder ~                  9.12  [12/14n 8/12n 3/11n]  last 2025-11-22
60. Eryk Anders                   9.29  [11/14n 6/12n 10/14o]  last 2026-03-14
61. Andre Petroski                9.33  [13/16n 7/12n 3/13n]  last 2026-05-16
62. Marco Tulio                   9.35  [11/14P 5/12n 12/13P]  last 2026-05-09
63. Gerald Meerschaert            9.45  [10/14n 10/14P 7/12P]  last 2026-05-02
64. Brad Tavares                  9.71  [11/14n 11/13n 4/12n]  last 2026-03-14
65. Sedriques Dumas               9.88  [10/16n 9/13n 11/14n]  last 2026-04-25
66. Jacob Malkoun                 9.94  [10/14n 8/13P 13/14n]  last 2026-05-02
67. Cody Brundage                10.37  [13/16n 8/16P 7/13P]  last 2026-05-16
68. Eric McConico                10.78  [9/16n 13/14P 12/12n]  last 2026-04-25
69. Ismail Naurdiev              10.78  [12/14n 8/12n 12/13P]  last 2025-11-22
70. Antonio Trocoli              10.92  [10/15n 13/14P 10/11n]  last 2026-03-21
71. Jackson McVey                11.16  [10/16n 12/12n 13/14P]  last 2026-04-25
72. Tresean Gore                 11.80  [14/16n 8/12n 12/13P]  last 2026-04-04
73. Azamat Bekoev                12.29  [14/16n 12/13n 8/12n]  last 2026-04-04
74. Wes Schultz                  12.75  [12/14n 14/14n]  last 2026-05-02
75. Baisangur Susurkaev          13.00  [13/14P 13/14P]  last 2026-05-09

━━━ WELTERWEIGHT ━━━  (65 ranked)
 1. Islam Makhachev               1.00  [1/14P 1/13P 1/12P]  last 2025-11-15
 2. Jack Della Maddalena          1.00  [1/14n 1/14P 1/12P]  last 2026-05-02
 3. Gilbert Burns                 1.00  [1/14n 1/11n 1/12n]  last 2026-04-18
 4. Gabriel Bonfim                1.18  [1/16n 1/12n 2/12n]  last 2026-06-06
 5. Belal Muhammad                1.31  [1/16n 2/14n 1/12P]  last 2026-06-06
 6. Ian Garry ~                   1.69  [2/14n 1/14n 2/14o]  last 2025-11-22
 7. Mike Malott                   2.22  [1/14n 2/13n 6/12P]  last 2026-04-18
 8. Carlos Prates                 2.29  [1/14n 4/14P 3/12P]  last 2026-05-02
 9. Santiagio Ponzinibbio ~       2.51  [3/12n 2/14n 2/12n]  last 2025-05-03
10. Leon Edwards ~                2.53  [4/14P 1/13n 1/14P]  last 2025-11-15
11. Joaquin Buckley               2.53  [4/14P 1/16n 1/13n]  last 2026-05-09
12. Michael Morales ~             2.76  [3/14P 1/11n 5/11n]  last 2025-11-15
13. Sean Brady                    2.90  [4/14P 1/16n 3/14P]  last 2026-05-09
14. Michael Page                  3.12  [3/15n 4/12P 2/11n]  last 2026-03-21
15. Gunnar Nelson ~               3.18  [3/13n 3/15P 4/12n]  last 2025-03-22
16. Geoff Neal                    3.22  [2/14n 3/12P 7/13P]  last 2026-02-22
17. Daniel Rodriguez              3.37  [3/14P 3/12n 5/12n]  last 2025-07-19
18. Stephen Thompson ~            3.41  [2/12n 6/12P 3/12P]  last 2025-07-12
19. Carlston Harris               3.53  [5/16n 2/14n 2/12n]  last 2026-05-30
20. Uros Medic                    3.78  [2/14n 3/12n 10/12n]  last 2026-02-22
21. Elizeu Zaleski dos Santos ~   4.45  [5/12n 2/13n 7/11n]  last 2025-08-02
22. Kevin Holland                 4.73  [7/12P 2/13n 3/14P]  last 2026-04-11
23. Muslim Salikhov               4.76  [5/16n 3/12n 7/12n]  last 2026-05-30
24. Randy Brown                   4.80  [7/12P 1/12n 5/14n]  last 2026-04-11
25. Jake Matthews                 4.82  [5/16n 5/16n 4/12n]  last 2026-05-30
26. Sam Patterson                 5.51  [3/15n 10/13n 5/10n]  last 2026-03-21
27. Niko Price                    5.82  [3/16n 8/13n 10/11P]  last 2026-03-28
28. Charlie Radtke ~              5.86  [5/13n 6/12P 8/11n]  last 2025-11-01
